"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06097","Sonoma","Male",24091,1053,25613,1071,0.940577050716433,0.0119727283475241
"2","06097","Sonoma","Female",1522,237,25613,1071,0.0594229492835669,0.00891325500534302
