"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06099","Stanislaus","Male",19870,992,21051,999,0.943898152106788,0.01463400813916
"2","06099","Stanislaus","Female",1181,184,21051,999,0.0561018478932117,0.00832533351097676
