"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06023","Humboldt","Male",7360,545,8079,578,0.911003837108553,0.0173991717763425
"2","06023","Humboldt","Female",719,176,8079,578,0.088996162891447,0.0208336463027632
