"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06083","Santa Barbara","Male",19106,856,21027,919,0.908641270747135,0.00895326993795005
"2","06083","Santa Barbara","Female",1921,304,21027,919,0.0913587292528654,0.0138952877866278
