"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06015","Del Norte","Male",1856,209,2048,228,0.90625,0.0153409652435996
"2","06015","Del Norte","Female",192,97,2048,228,0.09375,0.0461990172747135
