"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06021","Glenn","Male",1311,221,1411,219,0.929128277817151,0.0611194493241126
"2","06021","Glenn","Female",100,59,1411,219,0.070871722182849,0.04034152299386
