"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06109","Tuolumne","Male",4984,443,5190,460,0.960308285163777,0.00642856189495526
"2","06109","Tuolumne","Female",206,95,5190,460,0.0396917148362235,0.0179631902948665
