"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06103","Tehama","Male",4181,352,4392,389,0.95195810564663,0.116328690112622
"2","06103","Tehama","Female",211,114,4392,389,0.0480418943533698,0.0256051363838756
