"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06033","Lake","Male",4940,423,5360,442,0.921641791044776,0.0212573693273218
"2","06033","Lake","Female",420,147,5360,442,0.0783582089552239,0.026653300914781
