"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06087","Santa Cruz","Male",9609,535,10208,592,0.941320532915361,0.075676537349353
"2","06087","Santa Cruz","Female",599,191,10208,592,0.0586794670846395,0.0183987475212843
