"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06011","Colusa","Male",739,139,830,155,0.890361445783132,0.0199919171178677
"2","06011","Colusa","Female",91,57,830,155,0.109638554216867,0.0655515228861152
