"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06091","Sierra","Male",260,85,292,92,0.89041095890411,0.0776780499235613
"2","06091","Sierra","Female",32,26,292,92,0.10958904109589,0.0820739315575058
