"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06051","Mono","Male",611,198,705,234,0.866666666666667,0.402026554890946
"2","06051","Mono","Female",94,85,705,234,0.133333333333333,0.112151499567274
