"","geoid","county","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06081","San Mateo","Male",23302,950,25027,1019,0.931074439605226,0.00193502220976903
"2","06081","San Mateo","Female",1725,268,25027,1019,0.0689255603947736,0.0103341587660721
