"","geoid","county","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06031","Kings","Less than high school graduate",621,138,9235,608,0.0672441797509475,0.0142722935867351
"2","06031","Kings","High school graduate (includes equivalency)",1965,294,9235,608,0.212777476989713,0.0285876642416137
"3","06031","Kings","Some college or associate's degree",4412,439,9235,608,0.477747698971305,0.0356429145139902
"4","06031","Kings","Bachelor's degree or higher",2237,312,9235,608,0.242230644288035,0.029783670589878
