"","geoid","county","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06015","Del Norte","Less than high school graduate",185,81,2048,228,0.09033203125,0.0382508979292636
"2","06015","Del Norte","High school graduate (includes equivalency)",480,151,2048,228,0.234375,0.0689591323682835
"3","06015","Del Norte","Some college or associate's degree",1045,183,2048,228,0.51025390625,0.0689747953490787
"4","06015","Del Norte","Bachelor's degree or higher",338,108,2048,228,0.1650390625,0.049430043441696
