"","geoid","cbsa","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","45000","Susanville, CA Micro Area","Male",1815,228,1984,240,0.914818548387097,0.0309845177737627
"2","45000","Susanville, CA Micro Area","Female",169,65,1984,240,0.0851814516129032,0.0310994901162983
