"","geoid","cbsa","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Male",50028,1263,54091,1285,0.924885840527999,0.00790187906310274
"2","41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Female",4063,388,54091,1285,0.0751141594720009,0.00694759863465984
