"","geoid","cbsa","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","17020","Chico, CA Metro Area","Male",12958,695,14209,776,0.911957210218875,0.0698067566667502
"2","17020","Chico, CA Metro Area","Female",1251,243,14209,776,0.0880427897811246,0.0164119781787739
