"","geoid","cbsa","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","23420","Fresno, CA Metro Area","Male",33434,1135,36125,1241,0.925508650519031,0.0446988664779531
"2","23420","Fresno, CA Metro Area","Female",2691,363,36125,1241,0.0744913494809689,0.00971713638231791
