"","geoid","cbsa","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","39780","Red Bluff, CA Micro Area","Male",4181,352,4392,389,0.95195810564663,0.116328690112622
"2","39780","Red Bluff, CA Micro Area","Female",211,114,4392,389,0.0480418943533698,0.0256051363838756
