"","geoid","cbsa","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","49700","Yuba City, CA Metro Area","Male",10483,605,11868,668,0.88329962925514,0.0112647084072556
"2","49700","Yuba City, CA Metro Area","Female",1385,260,11868,668,0.11670037074486,0.0208997365452798
