"","geoid","cbsa","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","40140","Riverside-San Bernardino-Ontario, CA Metro Area","Male",195212,2942,212994,3084,0.916514080208832,0.00383178253634507
"2","40140","Riverside-San Bernardino-Ontario, CA Metro Area","Female",17782,1066,212994,3084,0.0834859197911678,0.0048566598798537
