"","geoid","cbsa","age_group","estimate","moe"
"1","46020","Truckee-Grass Valley, CA Micro Area","18-34 (Employed)",229,127
"2","46020","Truckee-Grass Valley, CA Micro Area","18-34 (Unemployed)",12,21
"3","46020","Truckee-Grass Valley, CA Micro Area","35-54 (Employed)",882,242
"4","46020","Truckee-Grass Valley, CA Micro Area","35-54 (Unmployed)",56,49
"5","46020","Truckee-Grass Valley, CA Micro Area","55-64 (Employed)",538,166
"6","46020","Truckee-Grass Valley, CA Micro Area","55-64 (Unemployed)",13,21
