"","geoid","cbsa","age_group","estimate","moe"
"1","41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","18-34 (Employed)",26340,1450
"2","41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","18-34 (Unemployed)",1800,357
"3","41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","35-54 (Employed)",47822,1417
"4","41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","35-54 (Unmployed)",2581,352
"5","41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","55-64 (Employed)",24263,844
"6","41740","San Diego-Chula Vista-Carlsbad, CA Metro Area","55-64 (Unemployed)",937,198
