"","geoid","cbsa","age_group","estimate","moe"
"1","47300","Visalia, CA Metro Area","18-34 (Employed)",1550,384
"2","47300","Visalia, CA Metro Area","18-34 (Unemployed)",122,73
"3","47300","Visalia, CA Metro Area","35-54 (Employed)",1907,363
"4","47300","Visalia, CA Metro Area","35-54 (Unmployed)",121,101
"5","47300","Visalia, CA Metro Area","55-64 (Employed)",1663,330
"6","47300","Visalia, CA Metro Area","55-64 (Unemployed)",49,42
