"","geoid","cbsa","age_group","estimate","moe"
"1","12540","Bakersfield, CA Metro Area","18-34 (Employed)",3122,493
"2","12540","Bakersfield, CA Metro Area","18-34 (Unemployed)",353,183
"3","12540","Bakersfield, CA Metro Area","35-54 (Employed)",6243,587
"4","12540","Bakersfield, CA Metro Area","35-54 (Unmployed)",529,223
"5","12540","Bakersfield, CA Metro Area","55-64 (Employed)",3519,461
"6","12540","Bakersfield, CA Metro Area","55-64 (Unemployed)",216,90
