"","geoid","cbsa","age_group","estimate","moe"
"1","49700","Yuba City, CA Metro Area","18-34 (Employed)",1624,340
"2","49700","Yuba City, CA Metro Area","18-34 (Unemployed)",146,111
"3","49700","Yuba City, CA Metro Area","35-54 (Employed)",2256,368
"4","49700","Yuba City, CA Metro Area","35-54 (Unmployed)",186,87
"5","49700","Yuba City, CA Metro Area","55-64 (Employed)",1253,218
"6","49700","Yuba City, CA Metro Area","55-64 (Unemployed)",57,42
