"","geoid","cbsa","age_group","estimate","moe"
"1","42200","Santa Maria-Santa Barbara, CA Metro Area","18-34 (Employed)",1844,404
"2","42200","Santa Maria-Santa Barbara, CA Metro Area","18-34 (Unemployed)",119,82
"3","42200","Santa Maria-Santa Barbara, CA Metro Area","35-54 (Employed)",3333,408
"4","42200","Santa Maria-Santa Barbara, CA Metro Area","35-54 (Unmployed)",100,73
"5","42200","Santa Maria-Santa Barbara, CA Metro Area","55-64 (Employed)",1893,284
"6","42200","Santa Maria-Santa Barbara, CA Metro Area","55-64 (Unemployed)",91,74
