"","geoid","county","age_group","estimate","moe"
"1","06015","Del Norte","18-34 (Employed)",21,24
"2","06015","Del Norte","18-34 (Unemployed)",32,43
"3","06015","Del Norte","35-54 (Employed)",369,157
"4","06015","Del Norte","35-54 (Unmployed)",49,46
"5","06015","Del Norte","55-64 (Employed)",91,65
"6","06015","Del Norte","55-64 (Unemployed)",37,45
