"","geoid","county","age_group","estimate","moe"
"1","06011","Colusa","18-34 (Employed)",84,81
"2","06011","Colusa","18-34 (Unemployed)",0,23
"3","06011","Colusa","35-54 (Employed)",41,34
"4","06011","Colusa","35-54 (Unmployed)",15,22
"5","06011","Colusa","55-64 (Employed)",82,48
"6","06011","Colusa","55-64 (Unemployed)",0,23
