"","geoid","county","age_group","estimate","moe"
"1","06085","Santa Clara","18-34 (Employed)",3153,348
"2","06085","Santa Clara","18-34 (Unemployed)",175,105
"3","06085","Santa Clara","35-54 (Employed)",8278,520
"4","06085","Santa Clara","35-54 (Unmployed)",429,135
"5","06085","Santa Clara","55-64 (Employed)",5195,480
"6","06085","Santa Clara","55-64 (Unemployed)",375,146
