"","geoid","county","age_group","estimate","moe"
"1","06077","San Joaquin","18-34 (Employed)",1984,353
"2","06077","San Joaquin","18-34 (Unemployed)",174,91
"3","06077","San Joaquin","35-54 (Employed)",5260,611
"4","06077","San Joaquin","35-54 (Unmployed)",179,90
"5","06077","San Joaquin","55-64 (Employed)",3156,373
"6","06077","San Joaquin","55-64 (Unemployed)",325,119
