"","geoid","county","age_group","estimate","moe"
"1","06083","Santa Barbara","18-34 (Employed)",1844,404
"2","06083","Santa Barbara","18-34 (Unemployed)",119,82
"3","06083","Santa Barbara","35-54 (Employed)",3333,408
"4","06083","Santa Barbara","35-54 (Unmployed)",100,73
"5","06083","Santa Barbara","55-64 (Employed)",1893,284
"6","06083","Santa Barbara","55-64 (Unemployed)",91,74
