"","geoid","county","age_group","estimate","moe"
"1","06025","Imperial","18-34 (Employed)",472,187
"2","06025","Imperial","18-34 (Unemployed)",93,71
"3","06025","Imperial","35-54 (Employed)",1136,280
"4","06025","Imperial","35-54 (Unmployed)",36,38
"5","06025","Imperial","55-64 (Employed)",358,131
"6","06025","Imperial","55-64 (Unemployed)",21,22
