"","geoid","cbsa","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","17340","Clearlake, CA Micro Area","Less than high school graduate",497,181,5360,442,0.0927238805970149,0.0328915928439261
"2","17340","Clearlake, CA Micro Area","High school graduate (includes equivalency)",1284,253,5360,442,0.23955223880597,0.0428690517034571
"3","17340","Clearlake, CA Micro Area","Some college or associate's degree",2724,342,5360,442,0.508208955223881,0.0481133894814598
"4","17340","Clearlake, CA Micro Area","Bachelor's degree or higher",855,211,5360,442,0.159514925373134,0.0371029327297235
