"","geoid","cbsa","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","42200","Santa Maria-Santa Barbara, CA Metro Area","Less than high school graduate",691,149,20343,839,0.0339674580936932,0.00718916509204324
"2","42200","Santa Maria-Santa Barbara, CA Metro Area","High school graduate (includes equivalency)",3445,368,20343,839,0.169345720886792,0.0166871020079207
"3","42200","Santa Maria-Santa Barbara, CA Metro Area","Some college or associate's degree",8375,515,20343,839,0.411689524652215,0.018777613867796
"4","42200","Santa Maria-Santa Barbara, CA Metro Area","Bachelor's degree or higher",7832,521,20343,839,0.384997296367301,0.0200945429061399
