"","geoid","cbsa","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","42020","San Luis Obispo-Paso Robles, CA Metro Area","Less than high school graduate",447,128,16450,783,0.0271732522796353,0.0076729038953454
"2","42020","San Luis Obispo-Paso Robles, CA Metro Area","High school graduate (includes equivalency)",2993,427,16450,783,0.181945288753799,0.0244701237785397
"3","42020","San Luis Obispo-Paso Robles, CA Metro Area","Some college or associate's degree",7262,610,16450,783,0.44145896656535,0.0305538425285137
"4","42020","San Luis Obispo-Paso Robles, CA Metro Area","Bachelor's degree or higher",5748,417,16450,783,0.349422492401216,0.0191304235803701
