"","geoid","cbsa","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","46020","Truckee-Grass Valley, CA Micro Area","Less than high school graduate",410,221,7882,477,0.052017254503933,0.0278612936808583
"2","46020","Truckee-Grass Valley, CA Micro Area","High school graduate (includes equivalency)",1406,291,7882,477,0.178381121542756,0.0353060582950546
"3","46020","Truckee-Grass Valley, CA Micro Area","Some college or associate's degree",3131,337,7882,477,0.39723420451662,0.0353573088427283
"4","46020","Truckee-Grass Valley, CA Micro Area","Bachelor's degree or higher",2935,323,7882,477,0.372367419436691,0.0342271536909355
