"","geoid","cbsa","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","12540","Bakersfield, CA Metro Area","Less than high school graduate",2604,361,35196,1095,0.0739856801909308,0.00999522950545519
"2","12540","Bakersfield, CA Metro Area","High school graduate (includes equivalency)",8382,644,35196,1095,0.238152062734402,0.016730287751172
"3","12540","Bakersfield, CA Metro Area","Some college or associate's degree",16258,935,35196,1095,0.461927491760427,0.0223426473537038
"4","12540","Bakersfield, CA Metro Area","Bachelor's degree or higher",7952,675,35196,1095,0.22593476531424,0.0178437272603695
