"","geoid","cbsa","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","39780","Red Bluff, CA Micro Area","Less than high school graduate",354,158,4348,372,0.0814167433302668,0.0356646667415186
"2","39780","Red Bluff, CA Micro Area","High school graduate (includes equivalency)",1328,266,4348,372,0.305427782888684,0.0553158677056467
"3","39780","Red Bluff, CA Micro Area","Some college or associate's degree",2079,297,4348,372,0.478150873965041,0.0547022891106198
"4","39780","Red Bluff, CA Micro Area","Bachelor's degree or higher",587,139,4348,372,0.135004599816007,0.0298091321510772
