"","geoid","cbsa","education","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","Less than high school graduate",21151,861,363889,3915,0.058124867748132,0.00228197122812383
"2","31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","High school graduate (includes equivalency)",68404,1545,363889,3915,0.187980400616672,0.00373317030103071
"3","31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","Some college or associate's degree",145614,2733,363889,3915,0.400160488500614,0.00615410659006837
"4","31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","Bachelor's degree or higher",128720,2573,363889,3915,0.353734243134582,0.00595928110657641
