"","geoid","state","sex","estimate","moe","summary_est","summary_moe","prop","prop_moe"
"1","06","California","Male",1446385,8117,1574531,8842,0.918613225144503,0.00729294947667294
"2","06","California","Female",128146,2994,1574531,8842,0.0813867748554967,0.00184577585377865
